"","State","Month","Race","Vaccine","Population","Republican.Rep.","Democratics.Rep.","Region","Season"
"265","Iowa","Dec","White",3.6,48.34451902,0.41,0.4,"Midwest","Flu"
"266","Kansas","Dec","White",2.8,27.01855224,0.46,0.31,"Midwest","Flu"
"267","Kentucky","Dec","White",3.1,94.88560858,0.44,0.43,"South","Flu"
"268","Louisiana","Dec","White",2.3,62.8721021,0.41,0.43,"South","Flu"
"269","Maine","Dec","White",3.09999999999999,40.40466548,0.36,0.47,"Northeast","Flu"
"270","Maryland","Dec","White",3.1,313.6722251,0.31,0.55,"South","Flu"
"271","Massachusetts","Dec","White",4.90000000000001,625.996938,0.27,0.56,"Northeast","Flu"
"272","Michigan","Dec","White",4.1,132.2367569,0.34,0.47,"Midwest","Flu"
"273","Minnesota","Dec","White",3,55.95608978,0.39,0.46,"Midwest","Flu"
"274","Mississippi","Dec","White",3.3,35.99025877,0.44,0.42,"South","Flu"
"275","Missouri","Dec","White",3,70.46388865,0.41,0.42,"Midwest","Flu"
"276","Montana","Dec","White",2.8,6.225926791,0.49,0.3,"West","Flu"
"277","Nebraska","Dec","White",3.4,19.74081011,0.47,0.36,"Midwest","Flu"
"278","Nevada","Dec","White",3.1,13.31713203,0.37,0.46,"West","Flu"
"279","New Hampshire","Dec","White",3.59999999999999,135.2202029,0.35,0.44,"Northeast","Flu"
"280","New Jersey","Dec","White",NA,665.7877072,0.3,0.51,"Northeast","Flu"
"281","New Mexico","Dec","White",3.1,6.43256293,0.37,0.48,"West","Flu"
"282","New York","Dec","White",5,231.5894037,0.28,0.53,"Northeast","Flu"
"283","North Carolina","Dec","White",4,132.8646907,0.41,0.43,"South","Flu"
"284","North Dakota","Dec","White",2.40000000000001,9.236904658,0.5,0.33,"Midwest","Flu"
"285","Ohio","Dec","White",3.8,224.7545723,0.42,0.4,"Midwest","Flu"
"286","Oklahoma","Dec","White",3,37.52146944,0.45,0.4,"South","Flu"
"287","Oregon","Dec","White",3.6,32.63181359,0.32,0.47,"West","Flu"
"288","Pennsylvania","Dec","White",2.90000000000001,218.2271531,0.39,0.46,"Northeast","Flu"
"289","Rhode Island","Dec","White",4.8,738.5589942,0.3,0.48,"Northeast","Flu"
"290","South Carolina","Dec","White",2.7,106.2007904,0.43,0.39,"South","Flu"
"291","South Dakota","Dec","White",3.1,9.432751851,0.53,0.37,"Midwest","Flu"
"292","Tennessee","Dec","White",4,120.3839398,0.48,0.36,"South","Flu"
"293","Texas","Dec","White",3.4,45.26330017,0.39,0.4,"South","Flu"
"294","Utah","Dec","White",2.7,29.55524048,0.54,0.3,"West","Flu"
"295","Vermont","Dec","White",4.90000000000001,62.56957509,0.29,0.57,"Northeast","Flu"
